date,currency_code,currency_name,rate_to_cad,daily_change_pct,rolling_5d_avg,change_from_start_pct
2025-01-02,USD,US Dollar,1.4418,,,0.0
2025-01-03,USD,US Dollar,1.4442,0.1665,,0.1665
2025-01-06,USD,US Dollar,1.4348,-0.6509,,-0.4855
2025-01-07,USD,US Dollar,1.434,-0.0558,,-0.541
2025-01-08,USD,US Dollar,1.439,0.3487,1.43876,-0.1942
2025-01-09,USD,US Dollar,1.4395,0.0347,1.4383,-0.1595
2025-01-10,USD,US Dollar,1.4422,0.1876,1.4379,0.0277
2025-01-13,USD,US Dollar,1.4411,-0.0763,1.43916,-0.0486
2025-01-14,USD,US Dollar,1.4371,-0.2776,1.43978,-0.326
2025-01-15,USD,US Dollar,1.4334,-0.2575,1.43866,-0.5826
2025-01-16,USD,US Dollar,1.4388,0.3767,1.43852,-0.2081
2025-01-17,USD,US Dollar,1.4435,0.3267,1.43878,0.1179
2025-01-20,USD,US Dollar,1.433,-0.7274,1.43716,-0.6103
2025-01-21,USD,US Dollar,1.4366,0.2512,1.43706,-0.3607
2025-01-22,USD,US Dollar,1.4369,0.0209,1.43776,-0.3399
2025-01-23,USD,US Dollar,1.4371,0.0139,1.43742,-0.326
2025-01-24,USD,US Dollar,1.4336,-0.2435,1.43544,-0.5687
2025-01-27,USD,US Dollar,1.4381,0.3139,1.43646,-0.2566
2025-01-28,USD,US Dollar,1.4394,0.0904,1.43702,-0.1665
2025-01-29,USD,US Dollar,1.4435,0.2848,1.43834,0.1179
2025-01-30,USD,US Dollar,1.4414,-0.1455,1.4392,-0.0277
2025-01-31,USD,US Dollar,1.4484,0.4856,1.44216,0.4578
2025-02-03,USD,US Dollar,1.4603,0.8216,1.4466,1.2831
2025-02-04,USD,US Dollar,1.4345,-1.7668,1.44562,-0.5063
2025-02-05,USD,US Dollar,1.4295,-0.3486,1.44282,-0.8531
2025-02-06,USD,US Dollar,1.4322,0.1889,1.44098,-0.6658
2025-02-07,USD,US Dollar,1.4298,-0.1676,1.43726,-0.8323
2025-02-10,USD,US Dollar,1.4323,0.1748,1.43166,-0.6589
2025-02-11,USD,US Dollar,1.4307,-0.1117,1.4309,-0.7699
2025-02-12,USD,US Dollar,1.4298,-0.0629,1.43096,-0.8323
2025-02-13,USD,US Dollar,1.4242,-0.3917,1.42936,-1.2207
2025-02-14,USD,US Dollar,1.4166,-0.5336,1.42672,-1.7478
2025-02-18,USD,US Dollar,1.4193,0.1906,1.42412,-1.5605
2025-02-19,USD,US Dollar,1.4223,0.2114,1.42244,-1.3525
2025-02-20,USD,US Dollar,1.4188,-0.2461,1.42024,-1.5952
2025-02-21,USD,US Dollar,1.4207,0.1339,1.41954,-1.4634
2025-02-24,USD,US Dollar,1.4225,0.1267,1.42072,-1.3386
2025-02-25,USD,US Dollar,1.4287,0.4359,1.4226,-0.9086
2025-02-26,USD,US Dollar,1.4339,0.364,1.42492,-0.5479
2025-02-27,USD,US Dollar,1.4422,0.5788,1.4296,0.0277
2025-02-28,USD,US Dollar,1.4438,0.1109,1.43422,0.1387
2025-03-03,USD,US Dollar,1.4428,-0.0693,1.43828,0.0694
2025-03-04,USD,US Dollar,1.4489,0.4228,1.44232,0.4924
2025-03-05,USD,US Dollar,1.437,-0.8213,1.44294,-0.3329
2025-03-06,USD,US Dollar,1.4309,-0.4245,1.44068,-0.756
2025-03-07,USD,US Dollar,1.4371,0.4333,1.43934,-0.326
2025-03-10,USD,US Dollar,1.4431,0.4175,1.4394,0.0902
2025-03-11,USD,US Dollar,1.4451,0.1386,1.43864,0.2289
2025-03-12,USD,US Dollar,1.4391,-0.4152,1.43906,-0.1873
2025-03-13,USD,US Dollar,1.4409,0.1251,1.44106,-0.0624
2025-03-14,USD,US Dollar,1.4388,-0.1457,1.4414,-0.2081
2025-03-17,USD,US Dollar,1.4304,-0.5838,1.43886,-0.7907
2025-03-18,USD,US Dollar,1.4301,-0.021,1.43586,-0.8115
2025-03-19,USD,US Dollar,1.4326,0.1748,1.43456,-0.6381
2025-01-02,EUR,Euro,1.4816,,,0.0
2025-01-03,EUR,Euro,1.487,0.3645,,0.3645
2025-01-06,EUR,Euro,1.4909,0.2623,,0.6277
2025-01-07,EUR,Euro,1.4871,-0.2549,,0.3712
2025-01-08,EUR,Euro,1.4829,-0.2824,1.4859,0.0877
2025-01-09,EUR,Euro,1.4829,0.0,1.48616,0.0877
2025-01-10,EUR,Euro,1.4779,-0.3372,1.48434,-0.2497
2025-01-13,EUR,Euro,1.4714,-0.4398,1.48044,-0.6884
2025-01-14,EUR,Euro,1.4778,0.435,1.47858,-0.2565
2025-01-15,EUR,Euro,1.4767,-0.0744,1.47734,-0.3307
2025-01-16,EUR,Euro,1.4812,0.3047,1.477,-0.027
2025-01-17,EUR,Euro,1.485,0.2565,1.47842,0.2295
2025-01-20,EUR,Euro,1.4896,0.3098,1.48206,0.54
2025-01-21,EUR,Euro,1.4951,0.3692,1.48552,0.9112
2025-01-22,EUR,Euro,1.4973,0.1471,1.48964,1.0597
2025-01-23,EUR,Euro,1.4968,-0.0334,1.49276,1.0259
2025-01-24,EUR,Euro,1.5048,0.5345,1.49672,1.5659
2025-01-27,EUR,Euro,1.5098,0.3323,1.50076,1.9033
2025-01-28,EUR,Euro,1.5013,-0.563,1.502,1.3296
2025-01-29,EUR,Euro,1.5027,0.0933,1.50308,1.4241
2025-01-30,EUR,Euro,1.5027,0.0,1.50426,1.4241
2025-01-31,EUR,Euro,1.5042,0.0998,1.50414,1.5254
2025-02-03,EUR,Euro,1.5018,-0.1596,1.50254,1.3634
2025-02-04,EUR,Euro,1.4876,-0.9455,1.4998,0.405
2025-02-05,EUR,Euro,1.4889,0.0874,1.49704,0.4927
2025-02-06,EUR,Euro,1.4859,-0.2015,1.49368,0.2902
2025-02-07,EUR,Euro,1.4792,-0.4509,1.48868,-0.162
2025-02-10,EUR,Euro,1.477,-0.1487,1.48372,-0.3105
2025-02-11,EUR,Euro,1.4797,0.1828,1.48214,-0.1282
2025-02-12,EUR,Euro,1.4837,0.2703,1.4811,0.1417
2025-02-13,EUR,Euro,1.4843,0.0404,1.48078,0.1822
2025-02-14,EUR,Euro,1.4873,0.2021,1.4824,0.3847
2025-02-18,EUR,Euro,1.4831,-0.2824,1.48362,0.1012
2025-02-19,EUR,Euro,1.4824,-0.0472,1.48416,0.054
2025-02-20,EUR,Euro,1.4864,0.2698,1.4847,0.324
2025-02-21,EUR,Euro,1.4865,0.0067,1.48514,0.3307
2025-02-24,EUR,Euro,1.4897,0.2153,1.48562,0.5467
2025-02-25,EUR,Euro,1.5007,0.7384,1.48914,1.2891
2025-02-26,EUR,Euro,1.5047,0.2665,1.4936,1.5591
2025-02-27,EUR,Euro,1.5026,-0.1396,1.49684,1.4174
2025-02-28,EUR,Euro,1.5007,-0.1264,1.49968,1.2891
2025-03-03,EUR,Euro,1.5128,0.8063,1.5043,2.1058
2025-03-04,EUR,Euro,1.5292,1.0841,1.51,3.2127
2025-03-05,EUR,Euro,1.5467,1.1444,1.5184,4.3939
2025-03-06,EUR,Euro,1.5467,0.0,1.52722,4.3939
2025-03-07,EUR,Euro,1.5591,0.8017,1.5389,5.2308
2025-03-10,EUR,Euro,1.5637,0.295,1.54908,5.5413
2025-03-11,EUR,Euro,1.5785,0.9465,1.55894,6.5402
2025-03-12,EUR,Euro,1.5687,-0.6208,1.56334,5.8788
2025-03-13,EUR,Euro,1.5642,-0.2869,1.56684,5.5751
2025-03-14,EUR,Euro,1.5659,0.1087,1.5682,5.6898
2025-03-17,EUR,Euro,1.5612,-0.3001,1.5677,5.3726
2025-03-18,EUR,Euro,1.5629,0.1089,1.56458,5.4873
2025-03-19,EUR,Euro,1.5603,-0.1664,1.5629,5.3118
2025-01-02,GBP,British Pound,1.7851,,,0.0
2025-01-03,GBP,British Pound,1.793,0.4426,,0.4426
2025-01-06,GBP,British Pound,1.7956,0.145,,0.5882
2025-01-07,GBP,British Pound,1.7931,-0.1392,,0.4482
2025-01-08,GBP,British Pound,1.7772,-0.8867,1.7888,-0.4426
2025-01-09,GBP,British Pound,1.7712,-0.3376,1.78602,-0.7787
2025-01-10,GBP,British Pound,1.7628,-0.4743,1.77998,-1.2492
